"gene_id" "sample1" "sample2" "sample3" "sample4" "sample5" "sample6" "sample7" "sample8" "sample9" "sample10" "sample11" "sample12" "sample13" "sample14" "sample15" "sample16" "sample17" "sample18" "sample19" "sample20" "sample21" "sample22" "sample23" "sample24" "sample25" "sample26" "sample27" "sample28" "sample29" "sample30" "sample31" "sample32" "sample33"
"gene_id_1" 0.444305 0.801063887728459 0.078432 0.956589073627845 0.241267 0.734813200280112 0.085722 1.12254149630542 0.879173341067285 0.569701 0.145266 1.299185 0.195014 0.255964 1.01271 0.907908 0.410597 1.631807 0.080272 1.287091 1.49083974105622 0.993637386861314 0.858228 1.406811 1.772485 0.550087 0.271778 0.317665 0.262666 1.57636039873418 0.881575166197183 1.108808 0.667412508311858
"gene_id_2" 1.277193 0.941263 0.805031 0.956589073627845 1.604844 1.017402 0.625212 1.12254149630542 0.879173341067285 1.116392 1.026034 1.746624 0.610473 1.35173 1.026545 1.72489 1.561535 0.63836 0.646564 1.764906 1.49083974105622 0.993637386861314 1.40806077413793 1.011811 1.417134 1.30326788057325 0.106698 1.02096053521127 0.053519 2.416466 0.881575166197183 1.26849 0.634133007544894
"gene_id_3" 2.116561 2.341533 1.809037 0.956589073627845 1.481936 1.539448 1.200635 1.12254149630542 0.879173341067285 2.510002 2.234306 2.208746 1.201489 2.149724 1.771693 1.540259 2.234777 1.118098 1.501897 0.938173 0.855353 0.993637386861314 0.707087 0.713531 1.160035 0.796149 0.399983 0.69012 0.466145 2.25134 0.881575166197183 1.431209 7.64243769739598
"gene_id_4" 3.723028 1.437012 1.259824 0.956589073627845 1.00716959716312 2.310304 1.781351 1.12254149630542 0.879173341067285 3.007171 3.351063 1.31491 1.91389 1.751919 2.980037 1.478508 2.124773 0.141942 2.31715 0.390972 1.49083974105622 0.993637386861314 1.40806077413793 1.073706 1.832511 1.30326788057325 0.213396 0.168094 0.092384 1.781591 0.881575166197183 2.177584 0.516670638399353
"gene_id_5" 0.993485 0.230725 1.363408 0.956589073627845 0.813444 0.417219 2.010436 0.203055 1.190142 0.957037 1.610465 0.873720052704577 0.442235 0.261547 0.344717 0.146941 0.296883 0.295504 0.981786 0.784480866216216 0.709532 1.146534 0.360544 1.141393 1.089723 1.30326788057325 0.408434 0.530744 0.184496 0.440407 0.573476 0.258207 1.25474928592628
"gene_id_6" 1.434221 1.588468 0.982599 0.626522 1.615175 1.654613 0.180864 2.241871 0.726019 1.481373 1.121397 1.316605 1.154547 1.231447 0.823883 1.317595 1.884397 1.39424 0.469581 0.751385 3.576988 0.298295 1.28321 0.42297 1.544371 1.727685 2.787061 2.224125 2.733184 1.912101 2.1114 1.730404 0.535946981124677
"gene_id_7" 0.534416 0.801063887728459 0.998256 1.500577 1.00716959716312 0.734813200280112 0.716446 0.268232 0.217492 0.867196157333333 0.534295 1.069053 0.148488 0.914643 0.092744 1.181416 0.070714 0.74546652404439 1.146928 0.735162 1.49083974105622 0.709349 0.360544 0.502759 0.909534 1.30326788057325 0.300503 0.562657 0.09119 1.221764 0.881575166197183 0.347479 0.447596678960743
"gene_id_8" 0.193557 0.623537 0.553106 0.970205 1.341156 0.687758 1.135011 1.101616 0.895179 1.103427 0.403053 0.7077 0.655092 1.295113 0.357967 1.085822 0.440967 0.508324 1.513746 0.097743 1.396531 1.60601 1.118394 0.90267 1.13129628205128 0.686236 1.246056 1.211219 0.836653 1.57636039873418 1.026012 0.153874 1.38121170403026
"gene_id_9" 1.366842 0.238075 0.756555798823529 0.956589073627845 0.523249 0.162589 0.716548 0.356063 0.042024 0.18471 0.346622 0.137096 0.4712 0.76588356125 0.092744 0.07347 0.299058 0.097118 1.070435 0.784480866216216 1.091161 1.768475 0.611092 0.693553972332016 0.366291 1.30326788057325 0.179838 0.436217 0.246734 0.75 0.151563 1.05162627475593 0.656308541505922
"gene_id_10" 1.892225 0.7689 0.756555798823529 0.956589073627845 0.928429 0.73391 1.63438 1.33577 0.027035 0.685018 1.00283858323353 0.873720052704577 1.262877 0.76588356125 0.819473335517693 0.874201533659731 0.715795 0.849448 1.00785797596154 0.784480866216216 0.946547 1.652009 1.022056 0.693553972332016 1.13129628205128 1.922202 0.765082 1.153659 1.042661 1.57636039873418 0.973252 1.05162627475593 0.94091765590441
