"gene_id" "sample1" "sample2" "sample3" "sample4" "sample5" "sample6" "sample7" "sample8" "sample9" "sample10" "sample11" "sample12" "sample13" "sample14" "sample15" "sample16" "sample17" "sample18" "sample19" "sample20" "sample21" "sample22" "sample23" "sample24" "sample25" "sample26" "sample27" "sample28" "sample29" "sample30" "sample31" "sample32" "sample33"
"gene_id_1" 6 7 7 10 13 7 5 5 15 6 6 9 6 7 6 23 7 7 8 5 7 6 5 7 6 30 11 62 6 7 10 5 4
"gene_id_2" 9 7 7 10 12 12 8 12 37 8 5 9 6 7 6 23 7 7 8 10 6 6 6 6 6 36 6 75 8 7 6 5 7
"gene_id_3" 5 7 7 6 9 10 8 17 63 5 7 5 5 7 11 20 7 7 8 13 7 5 7 12 6 44 10 68 10 7 7 7 8
"gene_id_4" 6 7 7 5 5 9 6 14 19 7 6 5 6 7 6 15 7 7 8 13 7 6 5 7 6 33 8 73 9 5 6 7 7
"gene_id_5" 5 7 7 5 5 8 8 13 21 5 7 5 5 7 8 5 7 7 8 8 6 6 5 6 6 56 7 76 8 5 6 7 8
"gene_id_6" 6 7 7 6 5 5 8 10 20 7 7 6 6 7 6 7 7 7 8 7 5 6 5 9 6 56 6 66 9 7 7 7 7
"gene_id_7" 5 7 7 6 7 7 7 9 17 7 7 7 6 7 7 7 7 7 8 8 5 6 5 8 6 51 11 76 6 7 6 7 6
"gene_id_8" 5 7 7 6 8 6 5 10 17 7 7 7 6 5 7 7 7 7 8 8 5 6 6 8 6 49 11 76 6 7 5 7 4
"gene_id_9" 5 7 7 7 8 8 6 9 19 7 7 7 6 5 6 7 7 7 8 9 7 6 5 8 6 49 11 77 6 7 5 7 8
"gene_id_10" 5 7 7 7 8 7 6 10 18 7 7 7 6 5 6 8 7 7 8 9 7 6 5 8 6 46 11 79 6 7 10 7 10
"gene_id_11" 8 7 7 6 15 7 16 8 31 7 9 17 5 10 6 12 11 7 8 9 7 5 10 13 10 48 15 148 17 7 6 5 6
"gene_id_12" 8 7 7 6 14 7 16 8 33 7 9 16 6 9 6 12 13 5 8 11 6 5 10 13 11 49 15 150 18 5 6 5 3
"gene_id_13" 8 7 7 6 14 7 17 6 33 7 9 18 6 8 6 12 14 5 8 10 6 5 10 13 11 51 16 154 19 5 6 5 6
"gene_id_14" 9 7 7 6 14 7 17 7 31 7 9 16 6 9 6 12 14 5 7 11 5 5 10 13 10 52 15 153 20 7 7 5 2
"gene_id_15" 9 7 7 6 17 7 17 7 29 7 9 15 6 10 6 12 14 5 7 11 6 5 10 13 11 54 15 149 20 7 7 5 10
"gene_id_16" 10 7 7 6 7 6 11 12 25 7 7 20 6 7 6 8 8 7 8 19 7 6 7 20 6 31 15 150 11 10 13 7 7
